id,price,qty
ifah,31.09,12
lboi,61.04,53
jpdo,41.4,43
gdpc,23.72,42
nibd,94.33,93
imod,86.94,64
nind,87.61,10
ahgh,15.04,52
klia,80.38,3
lcfm,63.09,94
jakc,67.03,8
mnaf,10.72,0
bodl,27.62,42
lmhm,25.78,46
ombn,97.7,58
hodi,83.52,76
icol,6.66,57
dmmf,29.34,55
eoib,65.51,42
fcii,31.57,45
bijl,52.03,88
aigc,84.23,41
ahhl,23.93,25
amdd,27.77,39
aeom,80.73,10
fmlk,95.66,65
fhhc,78.77,25
okoj,59.91,92
hnla,96.75,76
hbjd,39.93,58
dhog,16.72,30
bfja,40.86,8
kalo,2.32,14
dmik,82.02,39
deai,88.39,17
lpaa,60.71,44
bgdd,2.07,35
odfb,61.39,44
fanl,90.66,84
ojge,95.46,25
edea,83.49,83
aeao,94.57,50
chdj,75.33,70
ddfd,71.13,53
mbmc,41.09,91
klkk,65.77,5
lehc,98.44,38
dbhj,98.46,62
kclm,62.68,31
oled,80.65,56
opch,37.03,42
ofhp,23.01,57
hcag,21.6,27
eadp,59,80
mdgn,90.16,82
dmja,50.36,88
nlpl,34.93,49
eglh,99.75,43
aefl,32.03,33
loij,59.43,45
apje,8.59,74
jglk,59.72,53
idln,88.49,39
ofkd,64.12,84
bbbc,19.99,51
eiil,61.55,95
bdbd,64.41,50
liib,65.06,19
bdfj,59.37,55
mppj,81.42,31
jfnf,68.54,57
bbfl,8.26,24
epfb,95.94,46
nkae,19.82,59
khol,77.83,27
gpbo,68.49,26
epml,57.51,50
emdg,28.85,46
leeb,67.88,75
nkjm,7.98,66
jcio,15.96,8
lgce,5.7,9
mbfe,46.97,32
hjoa,80.7,56
fhbg,52.46,2
mifk,92.24,72
pcha,69.84,90
eiio,28.06,84
fepb,43.63,71
kcjp,33.74,17
ecbd,45.82,18
nkeo,25.22,44
hgne,91.99,1
phfj,46.98,75
dcnd,29.08,99
bofe,51.58,9
nkgj,61.56,50
eikf,35.96,21
gjhc,55.07,15
bgcn,37.87,37
eipf,71.88,61
oafp,95.92,52
cfga,78.82,71
gfgo,38.36,95
elhh,68.06,96
meaj,30.01,62
kblg,43.56,19
mopn,12.8,34
fanh,63.79,37
mjee,2.11,26
dfmi,22.01,35
fljk,30.37,52
ilbh,21.96,7
lggi,77.42,39
lkkj,71.7,71
laoc,45.31,63
meld,4.17,17
hhbm,83.34,1
ldoc,38.82,43
gack,95.29,15
gleo,36.79,95
edfl,12.2,13
gjmb,73.19,79
lndo,24.99,9
adhj,25.46,64
mcan,71.38,30
oilc,51.64,60
gipe,10.32,68
aijo,69.62,17
bdhc,40.67,80
nhil,48.49,35
pimg,80.57,7
imph,51.63,89
ogml,32.81,54
gedn,10.57,78
pbbn,5.34,36
gokd,98.82,40
admg,82.42,90
olpj,60.94,31
ifhf,78.83,76
cflj,73.49,71
aeln,30.14,63
mpfl,8.31,49
mpde,2.36,48
bhdf,47.72,33
cgam,20.74,48
bkpg,61.58,30
ooee,39.25,85
bioj,9.99,9
hgmh,24.46,55
cjki,89.66,76
ffkg,32.1,50
kngg,68.26,20
aepf,48.49,77
mnlj,87.61,5
gdmo,33.31,64
mkog,84.66,49
pehe,58.31,18
fhdc,44.21,47
mfeb,70.13,11
mgbg,54.94,79
jmoe,46.02,43
elil,45.05,2
glim,68.48,15
obmc,84.05,62
flkg,65.24,62
djcn,72.96,80
engm,46.48,69
mfhl,93,28
dfim,59.48,38
epef,61.14,99
ojla,68.05,75
plgd,20.11,40
ljmf,7.8,86
eoob,67.39,52
lmpi,42.54,1
ilkk,61.74,58
lhll,30.06,56
bila,20.21,73
nkpg,20.43,90
imoe,59.75,18
mgod,88.45,38
efkk,95.51,36
gaii,2.33,1
kpcf,68.19,64
phhc,21.36,18
ockj,24.58,22
njip,33.89,32
nhok,50.43,46
obij,66.61,24
dmfe,32.03,3
pnkf,50.33,8
blod,3.59,16
omlj,52.02,2
bnef,49.76,52
falm,60.46,38
ghjj,61.76,22
oomn,13.36,79
ciog,44.39,51
lpad,3.86,57
icik,69.03,50
ihaa,23.5,22
oihn,2.61,51
didd,43.54,81
fegk,45.15,3
hilb,36.72,29
nffk,41.84,62
cnpm,2.6,84
oobp,43.25,91
iaia,75.72,59
idpm,5.04,73
kkhk,63.43,61
alhg,75.42,94
egml,89.18,84
cmeb,1.39,10
hbhd,66.97,93
nell,15.66,73
ledj,86.46,2
mkeg,1.9,87
alha,71.18,18
dnnl,87.59,22
jokn,27.97,33
aibo,33.4,60
ofmp,80.87,27
odbn,66.17,51
afif,7.65,3
jmhc,79.65,30
dbmk,28.26,97
pilo,23.67,38
ffii,54.92,75
gffh,0.94,92
gbkg,87.71,33
pikb,27.42,99
jpma,98.01,35
cpng,3.41,82
hlhi,70.96,69
kjhe,59.34,49
pebb,34.79,62
eppd,68.47,97
lemj,65.07,67
lpha,76.64,34
jack,95.07,0
nflc,17.25,83
ojbp,49.31,5
gafe,94.94,94
lkfl,25.07,53
eibj,10.23,37
fpdh,66.69,70
ianm,2.69,88
kigi,76.67,36
cfnn,7.58,62
gccf,85.36,82
nonj,4.57,58
ejje,6.92,82
fegg,14.01,9
lbgg,3.3,19
nioj,59.31,55
cnhc,76.54,70
ejel,30.78,16
iegf,16.77,61
cogp,86.55,32
mmco,78.54,71
jlnh,61.65,91
gpjg,8.53,74
epii,28.35,39
hjag,16.18,97
llhb,51.2,48
gjjn,94.44,46
dlfp,20.22,42
cllj,94.83,58
mmgp,5.76,99
eolc,97.44,71
lbgc,77.06,52
bedo,18.39,79
kdlb,58.43,33
pkmj,53.44,43
ppbj,2.57,19
odip,71.8,3
pkmn,30.78,61
fmlp,42.84,59
emig,97.41,16
pkep,66.08,92
pgbi,78.35,70
oinn,73.43,20
hell,64.24,80
fbog,24.64,44
mlcf,83.43,31
jgfb,34.32,80
hklo,77.27,46
pnlh,4.21,37
iobn,65.37,45
flfm,64.37,21
hbfn,61.26,39
oagc,24.5,66
jcll,72.4,36
gdpd,68.37,54
lodp,77.64,28
acci,73.57,92
damf,97.6,59
dgpb,53.88,18
mjmb,69,59
ghnh,78.76,37
digb,99.06,29
onme,18.47,65
ilim,96.75,33
ghbo,25.41,14
limg,19.34,69
ijbg,11.98,25
mdnb,31.87,62
lcpe,44.75,7
fmko,64.69,60
meog,89.41,94
kogf,42.44,34
lmdn,93.63,54
pfdb,64.57,15
njfe,53.37,23
enbh,30.62,9
bieb,71.45,6
hgop,27.41,75
ffkj,61.38,0
ekcg,74.41,79
jidd,4.85,40
ohdm,54.89,38
omkg,3.59,87
jafh,33.06,91
hpca,81.04,27
oncn,93.43,63
plog,97.51,78
ffbi,74.66,85
ggcp,2.2,91
bimk,81.16,46
alpa,5.82,89
pnoi,53.79,29
ncgl,97.27,7
mcpc,6.69,2
jfnh,50.27,58
faom,11.64,91
ookn,46.55,49
hjjg,43.94,1
ekbp,34.54,11
deoj,49.27,48
cajo,3.56,99
mhbc,3.25,27
fnbp,55.1,82
iigo,77.37,76
cgde,80.13,71
jbkj,26.62,29
kcke,92.46,28
mpgm,88.04,0
ifin,95.15,65
bbje,75.82,8
hfhn,20.1,11
nida,16.4,57
cdjh,66.03,73
hekn,85.41,39
hnim,49.28,28
cdki,12.43,39
jini,72.32,28
fdla,82.42,11
bjdb,71.4,74
gdog,9.81,54
cmlj,35.01,73
ibcp,85.97,77
lchd,76.29,36
dian,32.83,51
mfcf,54.1,68
lppb,58.75,59
glch,46.49,90
aalb,59.95,12
kiol,33.69,52
dehd,64.62,40
pkng,40.25,77
ipli,62.27,22
lgbm,41.61,66
nfjk,10.62,44
mfjb,15.15,85
ccgi,73.15,93
fckd,57.08,81
gkec,19.45,66
imhf,34.59,78
bdcf,4.5,42
nlab,21.64,70
fkmj,33.5,89
lnmg,99.78,54
jnbc,66.4,99
kmbn,54.56,7
adif,97.31,53
ebgc,29.36,54
pjng,99.17,12
mpgh,31.26,56
dgpj,6.83,46
gnfc,39.74,65
ajag,36.31,49
opoc,29.49,22
adpi,64.14,4
dogp,51.85,89
poec,36.49,75
mngk,44.68,15
cpoi,4.46,5
cdhp,55.67,47
bfol,60.78,33
efie,21.77,57
gffo,97.41,7
odlb,79.63,58
piie,67.3,65
oakb,78.91,7
bobb,36.79,5
mlco,55.17,88
njam,5.63,11
lppi,2.61,3
nkbm,25.21,45
ckbk,14.03,45
jidg,2.12,63
njgn,20.93,33
phno,18.02,45
lgjl,22.38,33
fcll,84.18,8
ikmm,55.7,71
cmbn,86.16,88
cgee,30.85,37
khbj,41.06,21
gnlm,96.23,73
dhpp,7.87,99
ldin,65.48,8
jjoa,7.3,89
foog,94.28,26
epan,53.41,27
hmdg,48.65,44
hfmm,79.87,57
lafh,17.01,37
elld,91.82,68
ldic,9.25,58
mfgk,52.45,12
dalm,2.64,17
iifm,85.93,58
knad,62.28,22
kkon,34.87,50
eiak,71.21,90
cbkl,45.26,79
bbdd,69.8,86
hhnh,64.2,74
dpfd,72.87,46
dncj,19.59,41
pnoh,4.66,15
cnnf,21.75,11
ippc,19.41,93
fhap,3.84,70
njcp,19.77,73
mknh,92.47,74
fkgm,54.17,50
haee,8.91,46
dgma,91.54,35
epgg,16.62,60
mkea,64.85,92
nlah,34.56,33
plkh,87.33,9
olop,32.66,96
onel,56.21,84
anmd,71.36,8
hnji,96.17,72
olob,95.36,16
hmpj,46.87,54
nnea,62.19,61
pnmh,11.06,1
dkib,73.29,8
kiid,18.4,29
doip,3.98,22
gcnc,86.77,24
mjcm,55.9,86
hdnd,82.39,7
fgcn,0.67,85
cnjj,3.47,87
mimj,37.14,78
dnmp,30.08,19
dhhd,84.39,63
gjnb,68.32,86
baob,45.14,74
haed,56.2,73
fldh,21.63,62
cnnk,24.68,96
abaj,80.63,18
kmoo,81.91,37
gmhe,50.98,99
bddl,84.65,95
chcb,13.87,18
epdh,56.09,62
obga,41.73,40
hlda,96.98,15
nafl,62.51,93
epmf,49.73,78
kijo,70.41,59
ionh,91.26,22
gjpg,39.49,42
hbgc,78.3,9
jckc,26.58,75
hgmp,19.62,9
oioj,28.62,62
ibnk,53.42,77
ccej,35.9,42
bpae,74.71,46
hhoi,36.14,9
ocpa,95.72,15
kfbc,28.48,68
fnng,89.9,23
dpel,25.04,8
fabp,20.85,12
onpg,32.35,24
pndd,54.06,6
hgaf,43.12,36
nbeb,55.32,68
eicm,27.98,37
fnfb,87.86,32
nloc,43.85,37
aibp,62.16,51
hpao,74.19,95
gfpc,33.99,13
ncmf,61.81,1
eecl,86.89,30
fhjk,30.38,5
lbac,62.38,70
bepe,53.69,46
kogm,12.06,33
apfj,69.05,80
kpej,48.71,34
hfal,17.28,12
eneg,11.22,58
jbll,31.13,99
mjdd,12.96,25
poph,70.39,94
jfak,93.84,2
acmi,92.77,97
iogg,79.85,57
lijc,92.16,22
dpnd,21.93,45
jehl,71.98,53
ehfo,71.17,67
iopo,14.81,22
hicl,31.86,67
hmkl,15.22,69
mjhh,13.8,40
bceh,94.07,26
pocg,67.39,45
laab,20.86,32
dmfi,20.93,82
pcce,74.74,81
fpfi,63.22,44
gpoh,15.61,11
ejbg,11.76,50
jlob,93,15
ioja,21.11,10
moja,60.58,68
fchn,16.75,35
gkie,22.2,61
fajp,69.56,91
cedk,53.89,16
ehog,17.44,84
hdmd,31.75,90
hfgi,2.03,7
ldmb,12.4,62
iijb,95.47,89
ecmo,80.64,15
gnnb,13.82,9
aafe,30.51,37
hcph,5.94,23
jmjb,87.31,31
dbci,61.52,71
madp,47.93,58
bdnc,31.44,40
khpe,24.83,76
dkph,14.26,61
oifi,3.55,80
johg,56.46,50
kkbm,71.38,32
gife,20.73,77
ojeh,67.08,67
gldf,79.89,43
gnbg,13.68,84
nhmd,18.42,19
pdip,80.04,7
neag,6.1,4
apfk,49.18,43
fnki,34,41
gdnh,23.92,15
fmdh,42.82,62
igaf,63.21,44
bhmi,86.8,10
ldfh,39.12,43
jikd,54.26,6
kdko,95.58,98
lbbo,89.87,36
nfhh,39.48,79
ncpc,87.96,22
dnmb,16.88,54
ajkg,89.75,27
geib,4.9,71
bdep,3.98,12
hlcj,36.29,98
pkgl,67.03,35
kbdg,77.2,77
mbke,62.53,25
ihjk,54.69,1
labf,45.14,1
nnel,43.52,74
eodp,53.36,10
pcfg,61.87,78
akjb,99.17,5
pgfp,88.71,37
oafo,2.27,49
omgd,59.36,21
aaip,51.14,89
ehni,9.34,71
fhio,18.51,34
cdld,13.1,84
cpgj,84.32,79
mane,39.83,28
abec,0.73,25
flcb,73.42,10
elch,71.76,81
afbo,94.44,18
oboo,34.88,45
ijaa,17.58,55
ggho,98.21,2
lnno,90.84,76
ofco,80.39,76
fmin,0.16,73
ohjl,84.23,91
mfae,2.44,28
gnkm,79.01,3
bgfa,51.42,77
licd,21.53,80
acpe,96.56,64
imbm,42.35,18
cnhe,24,86
bcam,10.55,62
cali,61.03,72
oacf,40.69,80
ioih,43.12,60
ebdo,47.8,90
adnn,87.04,15
kmei,94.36,24
npil,77.95,8
gfmj,3.58,68
ncgm,96.48,29
pcff,34.59,75
opgf,68.3,29
gfmb,63.11,32
gacj,89.43,29
kjcc,29.33,47
onck,52.11,85
edlo,64.87,12
ppgo,52.86,7
opfo,78.93,60
hdia,69.03,98
chja,48.35,77
jkka,77.84,49
aopc,28.77,77
gbfj,9.98,78
pnnl,68.1,14
mcie,59.18,2
bcdf,40.01,35
oahf,45.61,73
bnlb,78.75,34
gifk,61.2,66
bifn,58.91,16
ehff,24.33,16
deki,11.86,63
ihld,3.16,39
kdco,75.77,28
gook,27.86,1
ecej,65.61,43
mbhn,99.67,20
dpge,30.02,29
jdan,43.05,5
bdmg,35.04,74
gbjn,37.82,43
nnmb,87.9,9
hkmi,26.7,54
fmnd,77.36,75
kidk,38.45,16
acdp,30.36,10
eklk,21.25,36
bhmd,96.81,53
ajad,70.17,40
ggpi,92.71,34
dlmg,15.03,49
aigh,71.3,32
jlee,32.98,43
loia,6.69,21
ajal,51.66,43
dgln,89.83,20
pahn,59.51,38
deke,80.89,95
eald,16,13
jfan,87.02,88
jgog,45.62,99
obgb,5.98,37
jhlj,1.36,29
jflm,53.81,91
kkpn,17.68,17
bnfc,21.26,13
helh,2.11,97
mmkp,45.94,31
laad,60.44,2
cfam,6.17,43
nbam,94.05,39
oncb,66.45,78
bnog,64.99,27
mngc,65.65,75
odph,77.07,22
dgca,67.58,72
cnlb,79.96,52
pdgi,74.24,71
fcad,79.54,15
klme,20.4,0
bhli,2.32,5
gegl,31.4,11
ambc,42.63,28
ffjn,57.06,9
kmgi,68.75,94
hhfk,32.15,96
mimc,81,65
kddo,41.67,66
hdda,22.72,83
cbcj,76.4,42
pcle,60.72,21
jjjo,99.51,95
bpma,82.65,66
fkna,55.7,10
lpkp,91.91,38
mldg,28.97,6
noao,4.52,41
dggp,25.2,69
gflm,34.68,57
mnii,44.31,20
kjeb,12.57,34
jglf,26.18,63
lnpk,81.14,33
ojma,18.16,62
bhmc,95.38,86
mdnf,32.83,1
kbbo,42.37,61
bjbj,86.59,36
kkob,24.81,90
dfal,31.67,52
eefa,97.69,61
heif,97.81,70
mofk,6.86,34
jphn,66.82,49
najn,95.57,53
nlog,70.65,98
klpa,55.4,70
iejc,33.04,62
aejj,86.01,67
omba,36.07,49
hhoo,75.7,12
bpda,42.62,7
ajei,53.07,48
kpoh,34.05,65
lbhi,85.65,96
djpm,44.6,72
gfim,7.52,95
kblo,46.38,39
lhka,37.17,49
jacc,85.18,13
igom,35.49,80
aegg,31.23,72
jmcn,92.05,6
okan,24.07,84
olnj,26.89,24
lnlm,77.22,60
ojom,78.46,0
jodm,56.76,50
mmhk,85.31,42
mhhk,87.11,54
ehag,54.63,74
pihl,90.92,69
ncip,51.2,26
kcpc,31.06,95
lkhf,48.97,64
ghim,41.13,4
gloe,50.49,87
cglj,10.81,45
cgbd,86.94,10
ccao,58.29,38
flij,12.52,5
ffcg,96.01,9
igkm,33.84,29
jbnc,73.01,84
alae,9.69,9
mfid,13.84,53
ocfg,57.02,59
fdki,6.9,83
fgmm,40.87,46
bepf,46.98,73
aohd,30.57,75
hepp,33.8,23
gfic,25.37,38
mhha,92.2,73
eagk,53.54,31
ocbb,65.18,72
kipo,14.9,45
jbfc,28.99,31
nicp,14.08,21
doag,22.78,23
cobf,87.34,4
beno,52.61,96
cikc,53.97,2
adjp,92.13,65
dmhk,11.34,87
ickf,45.66,73
malf,96.62,24
mkoj,40.05,1
ljkd,1.69,65
pilb,91.76,4
eaol,54.42,48
nlbd,75.84,99
nnhn,65.06,3
gafb,83.63,81
icpe,7.6,40
fpje,48.62,66
nkbi,11.99,99
ahdp,5.44,25
oflj,83.33,95
ncnm,60.23,83
odlo,4.34,31
nibk,47.27,84
adgp,40.07,28
djak,94.3,18
dhcm,73.6,98
akkd,45.49,89
pkjn,66.7,65
bmmd,52.79,57
hkia,90.5,64
boeg,53.09,57
klhi,69,66
piej,58.51,78
cgij,58.33,90
jijd,8.57,46
hhkp,68.6,82
khip,40.85,88
ibkb,98.7,7
ojii,53.35,59
kbdd,51.61,62
gojd,81.27,69
kndm,81.81,57
ikdf,98.4,54
njhh,63.98,50
nane,85.73,55
ojdg,14.98,22
ooem,30.63,85
bnnm,69.29,53
mclh,57.14,86
olfe,57.82,32
mfcc,64.01,27
amcp,40.79,76
ipjb,17.69,37
ggoj,16.24,82
mocj,5.42,44
mnoh,75.4,0
ggaj,28.87,96
ellh,12.39,70
gjgb,73.92,23
idnp,47.29,85
cmjp,62.66,42
lojj,63.43,27
jhfj,96.3,4
hdfk,5.78,40
pand,73.05,72
djoh,85.58,15
iomk,7.54,20
hcbd,0.43,90
cefi,74.94,13
fghm,50.33,92
pbfn,99.06,34
kbhm,96.87,65
aafm,73.08,2
hlgl,88.51,72
hnoj,80.61,58
nlhb,82.27,77
lmbg,96.22,91
amoo,29.95,72
hfhm,18.98,71
poak,12.98,33
nepn,87.32,96
bnpl,8.69,73
dolm,21.78,71
piba,63.26,74
aadi,78.04,0
kbbk,45.83,85
mbgp,72.03,55
blen,12.82,57
lecp,64.22,27
ooop,63.91,80
alfe,75.1,61
khlc,18.71,96
kgnl,35.58,61
hokk,23.53,1
nlbp,94.19,51
idne,10.14,74
omcf,73.11,83
pcck,19.9,83
ilbl,20.82,2
gacn,26.88,89
lfmp,71.2,0
lhhd,50.9,97
nmgd,71.27,83
laap,96.78,25
loai,33.54,47
nhdp,0.55,38
ieie,73.47,36
bocc,93.98,18
mfdn,45.41,80
gdle,61.45,19
aife,73.63,92
mome,59.06,7
lmon,59.13,47
fdkc,3.45,51
hbjj,65.88,33
omdj,12.02,36
dcpm,80.45,2
appe,11.54,96
nphg,37.97,47
omab,57.69,77
kgil,12.51,34
iocg,79.68,57
caga,78.07,12
hfml,78.18,35
dbfj,50,0
ijdk,32.14,86
abkd,14.69,6
odnm,81.06,54
cfmp,59.99,30
pkma,62.82,42
pfof,42.79,66
